iter	Passed	Remaining
462	773	897
463	775	895
464	776	893
465	777	890
466	779	889
467	781	888
468	782	885
469	784	884
470	785	882
471	786	880
472	788	878
473	789	876
474	790	874
475	792	871
476	793	870
477	795	868
478	797	867
479	799	865
480	800	863
481	801	861
482	803	859
483	804	857
484	806	856
485	807	854
486	810	853
487	811	851
488	813	849
489	814	847
490	815	845
491	817	843
492	818	841
493	821	840
494	823	839
495	825	838
496	826	836
497	828	834
498	830	833
499	831	831
500	833	830
501	834	828
502	836	826
503	837	824
504	839	822
505	840	820
506	842	818
507	843	816
508	844	814
509	845	812
510	847	810
511	848	808
512	849	806
513	851	804
514	853	803
515	855	802
516	856	800
517	858	798
518	860	797
519	861	795
520	862	793
521	864	791
522	865	789
523	868	789
524	870	787
525	871	785
526	873	783
527	874	781
528	875	779
529	877	777
530	878	775
531	879	773
532	881	772
533	884	771
534	885	769
535	886	767
536	888	765
537	889	763
538	890	761
539	891	759
540	892	757
541	894	755
542	895	753
543	897	751
544	898	750
545	900	748
546	901	746
547	902	744
548	904	742
549	905	740
550	906	738
551	907	736
552	909	734
553	910	732
554	912	731
555	913	729
556	915	727
557	916	726
558	918	724
559	919	722
560	920	720
561	921	718
562	922	716
563	924	714
564	925	712
565	928	711
566	929	710
567	931	708
568	932	706
569	934	704
570	935	702
571	936	701
572	938	699
573	939	697
574	941	695
575	943	694
576	945	692
577	946	691
578	948	689
579	949	687
580	950	685
581	952	683
582	953	682
583	954	680
584	958	679
585	959	678
586	962	676
587	963	675
588	965	673
589	966	671
590	967	669
591	968	667
592	971	666
593	973	665
594	975	664
595	977	662
596	978	660
597	980	658
598	981	656
599	982	655
600	984	653
601	986	652
602	988	650
603	989	649
604	991	647
605	993	645
606	994	644
607	996	642
608	997	640
609	998	638
610	1001	637
611	1003	636
612	1005	634
613	1007	633
614	1008	631
615	1010	629
616	1011	627
617	1012	625
618	1015	625
619	1017	623
620	1020	622
621	1022	621
622	1023	619
623	1025	617
624	1026	615
625	1028	614
626	1032	613
627	1034	612
628	1035	610
629	1036	608
630	1038	607
631	1039	605
632	1041	603
633	1042	601
634	1044	600
635	1045	598
636	1047	596
637	1049	595
638	1050	593
639	1051	591
640	1053	589
641	1054	587
642	1055	585
643	1056	584
644	1058	582
645	1060	581
646	1062	579
647	1064	578
648	1066	576
649	1067	574
650	1069	573
651	1070	571
652	1071	569
653	1072	567
654	1075	566
655	1076	564
656	1077	562
657	1079	560
658	1080	558
659	1081	557
660	1082	555
661	1083	553
662	1085	551
663	1086	549
664	1087	547
665	1089	546
666	1091	544
667	1093	543
668	1094	541
669	1095	539
670	1101	540
671	1104	538
672	1106	537
673	1107	535
674	1108	533
675	1110	532
676	1111	530
677	1112	528
678	1113	526
679	1114	524
680	1116	522
681	1118	521
682	1119	519
683	1121	517
684	1122	516
685	1123	514
686	1125	512
687	1126	510
688	1127	508
689	1128	507
690	1129	505
691	1130	503
692	1132	501
693	1134	500
694	1135	498
695	1137	496
696	1138	494
697	1139	493
698	1140	491
699	1141	489
700	1143	487
701	1144	485
702	1145	483
703	1146	482
704	1148	480
705	1150	478
706	1151	477
707	1152	475
708	1154	473
709	1155	471
710	1156	470
711	1157	468
712	1159	466
713	1160	464
714	1161	463
715	1163	461
716	1165	459
717	1166	458
718	1167	456
719	1169	454
720	1170	452
721	1171	451
722	1172	449
723	1173	447
724	1175	445
725	1176	444
726	1178	442
727	1179	440
728	1181	439
729	1182	437
730	1183	435
731	1184	433
732	1186	432
733	1187	430
734	1188	428
735	1189	426
736	1190	424
737	1192	423
738	1194	421
739	1195	420
740	1197	418
741	1198	416
742	1200	415
743	1201	413
744	1202	411
745	1203	409
746	1205	408
747	1207	406
748	1208	405
749	1210	403
750	1211	401
751	1212	400
752	1214	398
753	1215	396
754	1216	394
755	1217	393
756	1219	391
757	1221	389
758	1223	388
759	1224	386
760	1226	385
761	1227	383
762	1228	381
763	1229	379
764	1231	378
765	1232	376
766	1233	374
767	1234	372
768	1236	371
769	1238	369
770	1239	368
771	1240	366
772	1241	364
773	1243	363
774	1244	361
775	1245	359
776	1246	357
777	1247	356
778	1248	354
779	1250	352
780	1252	351
781	1253	349
782	1254	347
783	1255	346
784	1257	344
785	1258	342
786	1259	340
787	1260	339
788	1262	337
789	1263	335
790	1264	334
791	1266	332
792	1268	331
793	1270	329
794	1271	327
795	1272	326
796	1273	324
797	1274	322
798	1276	321
799	1277	319
800	1279	317
801	1281	316
802	1282	314
803	1284	313
804	1285	311
805	1287	309
806	1288	308
807	1289	306
808	1291	304
809	1292	303
810	1293	301
811	1295	299
812	1297	298
813	1299	296
814	1300	295
815	1301	293
816	1303	291
817	1304	290
818	1305	288
819	1307	287
820	1309	285
821	1311	283
822	1312	282
823	1315	280
824	1316	279
825	1317	277
826	1319	275
827	1320	274
828	1322	272
829	1324	271
830	1325	269
831	1327	268
832	1329	266
833	1330	264
834	1331	263
835	1333	261
836	1334	259
837	1335	258
838	1336	256
839	1338	254
840	1341	253
841	1342	251
842	1344	250
843	1345	248
844	1347	247
845	1348	245
846	1349	243
847	1350	242
848	1351	240
849	1353	238
850	1355	237
851	1356	235
852	1358	234
853	1359	232
854	1361	230
855	1362	229
856	1363	227
857	1365	225
858	1366	224
859	1368	222
860	1370	221
861	1371	219
862	1372	217
863	1373	216
864	1375	214
865	1376	213
866	1377	211
867	1379	209
868	1380	208
869	1382	206
870	1384	205
871	1385	203
872	1387	201
873	1389	200
874	1390	198
875	1391	196
876	1393	195
877	1394	193
878	1395	192
879	1396	190
880	1398	188
881	1399	187
882	1400	185
883	1402	184
884	1403	182
885	1405	180
886	1406	179
887	1407	177
888	1408	175
889	1410	174
890	1412	172
891	1414	171
892	1415	169
893	1417	168
894	1418	166
895	1419	164
896	1421	163
897	1422	161
898	1424	159
899	1425	158
900	1427	156
901	1428	155
902	1430	153
903	1432	152
904	1433	150
905	1434	148
906	1436	147
907	1437	145
908	1438	144
909	1440	142
910	1441	140
911	1443	139
912	1444	137
913	1445	136
914	1447	134
915	1448	132
916	1449	131
917	1451	129
918	1452	127
919	1453	126
920	1454	124
921	1456	123
922	1457	121
923	1459	120
924	1460	118
925	1462	116
926	1463	115
927	1465	113
928	1466	112
929	1467	110
930	1468	108
931	1469	107
932	1471	105
933	1473	104
934	1474	102
935	1476	100
936	1477	99
937	1478	97
938	1479	96
939	1480	94
940	1482	92
941	1483	91
942	1484	89
943	1487	88
944	1488	86
945	1490	85
946	1491	83
947	1493	81
948	1494	80
949	1495	78
950	1496	77
951	1497	75
952	1498	73
953	1502	72
954	1503	70
955	1504	69
956	1506	67
957	1507	66
958	1508	64
959	1509	62
960	1510	61
961	1512	59
962	1513	58
963	1515	56
964	1516	55
965	1518	53
966	1519	51
967	1521	50
968	1522	48
969	1523	47
970	1524	45
971	1525	43
972	1526	42
973	1527	40
974	1529	39
975	1531	37
976	1532	36
977	1533	34
978	1535	32
979	1536	31
980	1537	29
981	1538	28
982	1540	26
983	1541	25
984	1542	23
985	1544	21
986	1546	20
987	1547	18
988	1549	17
989	1550	15
990	1551	14
991	1552	12
992	1554	10
993	1555	9
994	1556	7
995	1557	6
996	1560	4
997	1561	3
998	1563	1
999	1564	0
